dts;tms;obs;sim
30.10.1999;00:00;0.643;1.4707
30.10.1999;01:00;0.637;1.4695
30.10.1999;02:00;0.657;1.4679
30.10.1999;03:00;0.708;1.4664
30.10.1999;04:00;0.707;1.465
30.10.1999;05:00;0.706;1.4637
30.10.1999;06:00;0.705;1.4624
30.10.1999;07:00;0.708;1.4611
30.10.1999;08:00;0.709;1.4598
30.10.1999;09:00;0.665;1.4585
30.10.1999;10:00;0.663;1.4573
30.10.1999;11:00;0.663;1.4561
30.10.1999;12:00;0.643;1.4549
30.10.1999;13:00;0.676;1.4537
30.10.1999;14:00;0.664;1.4525
30.10.1999;15:00;0.663;1.4514
30.10.1999;16:00;0.666;1.4502
30.10.1999;17:00;0.669;1.4491
30.10.1999;18:00;0.672;1.4479
30.10.1999;19:00;0.674;1.4468
30.10.1999;20:00;0.677;1.4457
30.10.1999;21:00;0.678;1.4446
30.10.1999;22:00;0.665;1.4435
30.10.1999;23:00;0.682;1.4424
31.10.1999;00:00;0.743;1.4413
31.10.1999;01:00;0.746;1.4411
31.10.1999;02:00;0.749;1.4449
31.10.1999;03:00;0.752;1.4574
31.10.1999;04:00;0.755;1.4955
31.10.1999;05:00;1.06;1.5812
31.10.1999;06:00;1.81;1.7631
31.10.1999;07:00;2.08;2.037
31.10.1999;08:00;2.25;2.4005
31.10.1999;09:00;2.2;2.7723
31.10.1999;10:00;2.21;3.0384
31.10.1999;11:00;2.22;3.1906
31.10.1999;12:00;2.07;3.2441
31.10.1999;13:00;1.92;3.2283
31.10.1999;14:00;2.03;3.1713
31.10.1999;15:00;2.62;3.0937
31.10.1999;16:00;2.5;3.0077
31.10.1999;17:00;2.4;2.9193
31.10.1999;18:00;2.26;2.8317
31.10.1999;19:00;2.11;2.7468
31.10.1999;20:00;2.01;2.666
31.10.1999;21:00;1.93;2.5901
31.10.1999;22:00;1.85;2.5218
31.10.1999;23:00;1.77;2.4552
01.11.1999;00:00;1.69;2.3942
01.11.1999;01:00;1.63;2.3404
01.11.1999;02:00;1.58;2.2959
01.11.1999;03:00;1.53;2.26
01.11.1999;04:00;1.49;2.2276
01.11.1999;05:00;1.45;2.1951
01.11.1999;06:00;1.39;2.1612
01.11.1999;07:00;1.37;2.1264
01.11.1999;08:00;1.35;2.0911
01.11.1999;09:00;1.34;2.0556
01.11.1999;10:00;1.35;2.0203
01.11.1999;11:00;1.36;1.9858
01.11.1999;12:00;1.34;1.9524
01.11.1999;13:00;1.35;1.9205
01.11.1999;14:00;1.35;1.8904
01.11.1999;15:00;1.42;1.8621
01.11.1999;16:00;1.39;1.8354
01.11.1999;17:00;1.29;1.8104
01.11.1999;18:00;1.28;1.7868
01.11.1999;19:00;1.28;1.7647
01.11.1999;20:00;1.21;1.744
01.11.1999;21:00;1.15;1.7248
01.11.1999;22:00;1.18;1.7067
01.11.1999;23:00;1.22;1.6896
02.11.1999;00:00;1.2;1.6732
02.11.1999;01:00;1.19;1.6577
02.11.1999;02:00;1.17;1.6432
02.11.1999;03:00;1.14;1.6295
02.11.1999;04:00;1.15;1.6166
02.11.1999;05:00;1.14;1.6044
02.11.1999;06:00;1.14;1.593
02.11.1999;07:00;1.13;1.583
02.11.1999;08:00;1.13;1.5728
02.11.1999;09:00;1.17;1.5632
02.11.1999;10:00;1.23;1.5541
02.11.1999;11:00;1.26;1.5456
02.11.1999;12:00;1.25;1.5375
02.11.1999;13:00;1.23;1.5298
02.11.1999;14:00;1.23;1.5225
02.11.1999;15:00;1.22;1.5157
02.11.1999;16:00;1.23;1.5092
02.11.1999;17:00;1.22;1.5032
02.11.1999;18:00;1.2;1.4981
02.11.1999;19:00;1.2;1.4948
02.11.1999;20:00;1.22;1.4918
02.11.1999;21:00;1.25;1.4912
02.11.1999;22:00;1.3;1.4954
02.11.1999;23:00;1.37;1.5096
03.11.1999;00:00;1.41;1.5497
03.11.1999;01:00;1.44;1.6646
03.11.1999;02:00;2.35;1.962
03.11.1999;03:00;3.12;2.5599
03.11.1999;04:00;3.24;3.3448
03.11.1999;05:00;3.94;4.0173
03.11.1999;06:00;4.69;4.4675
03.11.1999;07:00;6.69;4.6702
03.11.1999;08:00;6.86;4.7389
03.11.1999;09:00;6.89;4.7621
03.11.1999;10:00;7.04;4.8001
03.11.1999;11:00;7.14;4.874
03.11.1999;12:00;7.3;4.9728
03.11.1999;13:00;7.35;5.0709
03.11.1999;14:00;7.24;5.1362
03.11.1999;15:00;7.29;5.1551
03.11.1999;16:00;7.62;5.1312
03.11.1999;17:00;7.42;5.0794
03.11.1999;18:00;7.21;5.0153
03.11.1999;19:00;6.98;4.9448
03.11.1999;20:00;6.75;4.8715
03.11.1999;21:00;6.57;4.7898
03.11.1999;22:00;6.42;4.6898
03.11.1999;23:00;6.28;4.5665
04.11.1999;00:00;6.14;4.4247
04.11.1999;01:00;5.99;4.2783
04.11.1999;02:00;5.74;4.1282
04.11.1999;03:00;5.54;3.9798
04.11.1999;04:00;5.34;3.8375
04.11.1999;05:00;5.13;3.703
04.11.1999;06:00;4.93;3.5792
04.11.1999;07:00;4.76;3.458
04.11.1999;08:00;4.62;3.3445
04.11.1999;09:00;4.5;3.2404
04.11.1999;10:00;4.37;3.1439
04.11.1999;11:00;4.27;3.0504
04.11.1999;12:00;4.31;2.9618
04.11.1999;13:00;4.08;2.8788
04.11.1999;14:00;3.81;2.8011
04.11.1999;15:00;3.84;2.7282
04.11.1999;16:00;3.76;2.659
04.11.1999;17:00;3.63;2.5934
04.11.1999;18:00;3.53;2.5341
04.11.1999;19:00;3.43;2.4767
04.11.1999;20:00;3.35;2.4232
04.11.1999;21:00;3.24;2.3725
04.11.1999;22:00;3.17;2.3241
04.11.1999;23:00;3.09;2.2804
05.11.1999;00:00;3.04;2.2385
05.11.1999;01:00;2.96;2.198
05.11.1999;02:00;2.9;2.1594
05.11.1999;03:00;2.84;2.1237
05.11.1999;04:00;2.81;2.0909
05.11.1999;05:00;2.72;2.06
05.11.1999;06:00;2.64;2.0304
05.11.1999;07:00;2.68;2.0023
05.11.1999;08:00;2.66;1.9757
05.11.1999;09:00;2.66;1.9504
05.11.1999;10:00;2.68;1.9265
05.11.1999;11:00;2.66;1.9038
05.11.1999;12:00;2.67;1.8824
05.11.1999;13:00;2.77;1.8622
05.11.1999;14:00;2.64;1.8431
05.11.1999;15:00;2.56;1.8252
05.11.1999;16:00;2.53;1.8083
05.11.1999;17:00;2.5;1.7923
05.11.1999;18:00;2.47;1.7773
05.11.1999;19:00;2.46;1.7631
05.11.1999;20:00;2.43;1.7497
05.11.1999;21:00;2.39;1.737
05.11.1999;22:00;2.34;1.7251
05.11.1999;23:00;2.32;1.7137
06.11.1999;00:00;2.35;1.7033
06.11.1999;01:00;2.26;1.6937
06.11.1999;02:00;2.22;1.6845
06.11.1999;03:00;2.19;1.6756
06.11.1999;04:00;2.15;1.6671
06.11.1999;05:00;2.13;1.6589
06.11.1999;06:00;2.13;1.6512
06.11.1999;07:00;2.14;1.651
06.11.1999;08:00;2.14;1.6861
06.11.1999;09:00;2.23;1.8615
06.11.1999;10:00;4.4;2.3798
06.11.1999;11:00;6.64;3.4807
06.11.1999;12:00;9.04;5.028
06.11.1999;13:00;9.22;6.5057
06.11.1999;14:00;8.66;7.5424
06.11.1999;15:00;8.6;8.0498
06.11.1999;16:00;8.33;8.1561
06.11.1999;17:00;7.8;8.0083
06.11.1999;18:00;7.35;7.7171
06.11.1999;19:00;7.06;7.3596
06.11.1999;20:00;6.79;6.9899
06.11.1999;21:00;6.5;6.6662
06.11.1999;22:00;6.23;6.4544
06.11.1999;23:00;6.08;6.3899
07.11.1999;00:00;6.05;6.4912
07.11.1999;01:00;6.19;6.7203
07.11.1999;02:00;7.25;6.9992
07.11.1999;03:00;7.78;7.2234
07.11.1999;04:00;7.55;7.3279
07.11.1999;05:00;7.33;7.3093
07.11.1999;06:00;7.02;7.1964
07.11.1999;07:00;6.77;7.0213
07.11.1999;08:00;6.55;6.8125
07.11.1999;09:00;6.34;6.5799
07.11.1999;10:00;6.18;6.3414
07.11.1999;11:00;6.01;6.1005
07.11.1999;12:00;5.83;5.8666
07.11.1999;13:00;5.48;5.645
07.11.1999;14:00;5.26;5.4449
07.11.1999;15:00;5.06;5.2573
07.11.1999;16:00;4.83;5.0792
07.11.1999;17:00;4.64;4.9137
07.11.1999;18:00;4.54;4.7527
07.11.1999;19:00;4.39;4.5986
07.11.1999;20:00;4.25;4.4528
07.11.1999;21:00;4.04;4.3174
07.11.1999;22:00;3.92;4.1867
07.11.1999;23:00;3.79;4.0619
08.11.1999;00:00;3.67;3.9438
08.11.1999;01:00;3.52;3.8326
08.11.1999;02:00;3.4;3.7281
08.11.1999;03:00;3.28;3.6331
08.11.1999;04:00;3.17;3.5413
08.11.1999;05:00;3.08;3.4551
08.11.1999;06:00;2.96;3.3742
08.11.1999;07:00;2.85;3.2982
08.11.1999;08:00;2.79;3.2293
